departamento,municipio,codigo dane,armas medios,mes,descripcion conducta,genero,agrupa edad persona,cantidad
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,SANTA BÁRBARA,05679000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,SEGOVIA,05736000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,TARAZÁ,05790000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,TURBO,05837000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,VALDIVIA,05854000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,VALPARAÍSO,05856000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,YONDÓ,05893000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ZARAGOZA,05895000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,ANORÍ,05040000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,CIUDAD BOLÍVAR,05101000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,EL CARMEN DE VIBORAL,05148000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,FREDONIA,05282000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,GUARNE,05318000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,HELICONIA,05347000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ITAGUI,05360000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,LA CEJA,05376000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,3
ANTIOQUIA,NARIÑO,05483000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,RIONEGRO,05615000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,SAN PEDRO,05664000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,SAN VICENTE,05674000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,TURBO,05837000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,3
ANTIOQUIA,CHIGORODÓ,05172000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,CHIGORODÓ,05172000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,CONCORDIA,05209000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,CONCORDIA,05209000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,EBÉJICO,05240000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,EL CARMEN DE VIBORAL,05148000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ITAGUI,05360000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,MARINILLA,05440000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,6
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,MUTATÁ,05480000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,SAN JUAN DE URABÁ,05659000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,SANTA BÁRBARA,05679000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,05042000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,05042000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,TURBO,05837000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,VALDIVIA,05854000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ZARAGOZA,05895000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,BETANIA,05091000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BURITICÁ,05113000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ANTIOQUIA,CAREPA,05147000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,CIUDAD BOLÍVAR,05101000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ITAGUI,05360000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ITUANGO,05361000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,5
ANTIOQUIA,MUTATÁ,05480000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,TARAZÁ,05790000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,TURBO,05837000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,TURBO,05837000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,TURBO,05837000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,URAMITA,05842000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ANGOSTURA,05038000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ANZA,05044000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BETANIA,05091000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ENVIGADO,05266000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,GIRARDOTA,05308000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ANTIOQUIA,JARDÍN,05364000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,MARINILLA,05440000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,8
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,RIONEGRO,05615000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,SAN ROQUE,05670000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,TARAZÁ,05790000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ABEJORRAL,05002000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,CAUCASIA,05154000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,EL BAGRE,05250000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,5
ANTIOQUIA,PUERTO BERRÍO,05579000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,SAN VICENTE,05674000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,SEGOVIA,05736000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,TURBO,05837000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADOLESCENTES,1
ANTIOQUIA,TURBO,05837000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,3
ANTIOQUIA,YARUMAL,05887000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ARAUCA,ARAUQUITA,81065000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ARAUCA,ARAUQUITA,81065000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADULTOS,2
ATLÁNTICO,SOLEDAD,08758000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ATLÁNTICO,BARANOA,08078000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADULTOS,1
ATLÁNTICO,PALMAR DE VARELA,08520000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,4
ATLÁNTICO,POLONUEVO,08558000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ATLÁNTICO,SOLEDAD,08758000,ARMA BLANCA / CORTOPUNZANTE,ABRILIL,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADOLESCENTES,1
ATLÁNTICO,MALAMBO,08433000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ATLÁNTICO,SABANALARGA,08638000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ATLÁNTICO,SANTO TOMÁS,08685000,ARMA BLANCA / CORTOPUNZANTE,MAYO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,JUNIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,5
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,3
ATLÁNTICO,PALMAR DE VARELA,08520000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ATLÁNTICO,SOLEDAD,08758000,ARMA BLANCA / CORTOPUNZANTE,JULIO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
BOLÍVAR,ARJONA,13052000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
BOLÍVAR,CARTAGENA (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,5
BOLÍVAR,MAGANGUÉ,13430000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
BOLÍVAR,SAN MARTÍN DE LOBA,13667000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
BOLÍVAR,SAN PABLO,13670000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
BOLÍVAR,ARJONA,13052000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADOLESCENTES,1
BOLÍVAR,CARTAGENA (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADOLESCENTES,1
BOLÍVAR,MAHATES,13433000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 104A. FEMINICIDIO,FEMENINO,ADOLESCENTES,1
BOLÍVAR,SAN JUAN NEPOMUCENO,13657000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
