6,Código DIVIPOLA,NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,Población en hogares particulares,Población en LEA,Población total
112,05480,Antioquia,Mutatá,12602,5,12607
113,05483,Antioquia,Nariño,8599,4,8603
114,05490,Antioquia,Necoclí,38420,0,38420
115,05495,Antioquia,Nechí,24030,36,24066
116,05501,Antioquia,Olaya,2719,0,2719
117,05541,Antioquia,Peñol,17996,14,18010
118,05543,Antioquia,Peque,7141,14,7155
119,05576,Antioquia,Pueblorrico,7202,0,7202
120,05579,Antioquia,Puerto Berrío,35791,1010,36801
121,05585,Antioquia,Puerto Nare,12127,34,12161
122,05591,Antioquia,Puerto Triunfo,15490,1741,17231
123,05604,Antioquia,Remedios,22519,11,22530
124,05607,Antioquia,Retiro,20568,132,20700
125,05615,Antioquia,Rionegro,114851,1549,116400
126,05628,Antioquia,Sabanalarga,7813,20,7833
127,05631,Antioquia,Sabaneta,81630,167,81797
128,05642,Antioquia,Salgar,15729,53,15782
129,05647,Antioquia,San Andrés de Cuerquía,6295,0,6295
130,05649,Antioquia,San Carlos,14373,107,14480
131,05652,Antioquia,San Francisco,5223,142,5365
132,05656,Antioquia,San Jerónimo,13133,25,13158
133,05658,Antioquia,San José de La Montaña,2952,0,2952
134,05659,Antioquia,San Juan de Urabá,19992,0,19992
135,05660,Antioquia,San Luis,11099,21,11120
136,05664,Antioquia,San Pedro,17020,99,17119
137,05665,Antioquia,San Pedro de Uraba,30064,463,30527
138,05667,Antioquia,San Rafael,12557,21,12578
139,05670,Antioquia,San Roque,17750,42,17792
140,05674,Antioquia,San Vicente,17987,64,18051
141,05679,Antioquia,Santa Bárbara,21836,194,22030
142,05686,Antioquia,Santa Rosa de Osos,30350,717,31067
143,05690,Antioquia,Santo Domingo,9520,266,9786
144,05697,Antioquia,El Santuario,30255,56,30311
145,05736,Antioquia,Segovia,33310,380,33690
146,05756,Antioquia,Sonson,31598,263,31861
147,05761,Antioquia,Sopetrán,13709,39,13748
148,05789,Antioquia,Támesis,14814,198,15012
149,05790,Antioquia,Tarazá,22729,97,22826
150,05792,Antioquia,Tarso,5646,17,5663
151,05809,Antioquia,Titiribí,8179,137,8316
152,05819,Antioquia,Toledo,4922,8,4930
153,05837,Antioquia,Turbo,114212,222,114434
154,05842,Antioquia,Uramita,6523,0,6523
155,05847,Antioquia,Urrao,28860,144,29004
156,05854,Antioquia,Valdivia,11511,0,11511
157,05856,Antioquia,Valparaíso,5414,17,5431
158,05858,Antioquia,Vegachí,11134,0,11134
159,05861,Antioquia,Venecia,10221,59,10280
160,05873,Antioquia,Vigía del Fuerte,8126,13,8139
161,05885,Antioquia,Yalí,6234,0,6234
162,05887,Antioquia,Yarumal,35842,495,36337
163,05890,Antioquia,Yolombó,18915,95,19010
164,05893,Antioquia,Yondó,17493,104,17597
165,05895,Antioquia,Zaragoza,24052,15,24067
166,08001,Atlántico,Barranquilla,1115490,4613,1120103
167,08078,Atlántico,Baranoa,61446,81,61527
168,08137,Atlántico,Campo de La Cruz,22810,0,22810
169,08141,Atlántico,Candelaria,15631,0,15631
170,08296,Atlántico,Galapa,55014,109,55123
171,08372,Atlántico,Juan de Acosta,18828,0,18828
172,08421,Atlántico,Luruaco,27647,0,27647
173,08433,Atlántico,Malambo,119704,216,119920
174,08436,Atlántico,Manatí,19233,0,19233
175,08520,Atlántico,Palmar de Varela,27087,11,27098
176,08549,Atlántico,Piojó,5636,0,5636
177,08558,Atlántico,Polonuevo,16221,1,16222
178,08560,Atlántico,Ponedera,23412,8,23420
179,08573,Atlántico,Puerto Colombia,47742,157,47899
180,08606,Atlántico,Repelón,25467,0,25467
181,08634,Atlántico,Sabanagrande,31991,35,32026
182,08638,Atlántico,Sabanalarga,92283,197,92480
183,08675,Atlántico,Santa Lucía,12650,0,12650
184,08685,Atlántico,Santo Tomás,28635,58,28693
185,08758,Atlántico,Soledad,535639,345,535984
186,08770,Atlántico,Suan,11607,0,11607
187,08832,Atlántico,Tubará,12718,0,12718
188,08849,Atlántico,Usiacurí,9543,0,9543
189,11001,"Bogotá, D.C.","Bogotá, D.C.",7149540,31929,7181469
190,13001,Bolívar,Cartagena,884084,3862,887946
191,13006,Bolívar,Achí,18864,15,18879
192,13030,Bolívar,Altos del Rosario,9009,0,9009
193,13042,Bolívar,Arenal,7169,0,7169
194,13052,Bolívar,Arjona,67100,18,67118
195,13062,Bolívar,Arroyohondo,8058,0,8058
196,13074,Bolívar,Barranco de Loba,14435,0,14435
197,13140,Bolívar,Calamar,22202,0,22202
198,13160,Bolívar,Cantagallo,6874,0,6874
199,13188,Bolívar,Cicuco,13120,0,13120
200,13212,Bolívar,Córdoba,14992,20,15012
201,13222,Bolívar,Clemencia,13821,0,13821
202,13244,Bolívar,El Carmen de Bolívar,67376,85,67461
203,13248,Bolívar,El Guamo,7861,0,7861
204,13268,Bolívar,El Peñón,7234,0,7234
205,13300,Bolívar,Hatillo de Loba,11770,0,11770
206,13430,Bolívar,Magangué,127471,532,128003
207,13433,Bolívar,Mahates,25772,303,26075
208,13440,Bolívar,Margarita,9720,0,9720
209,13442,Bolívar,María La Baja,45321,3,45324
210,13458,Bolívar,Montecristo,13470,0,13470
211,13468,Bolívar,Mompós,43209,8,43217
212,13473,Bolívar,Morales,18678,0,18678
213,13490,Bolívar,Norosí,7888,11,7899
214,13549,Bolívar,Pinillos,23349,0,23349
215,13580,Bolívar,Regidor,5335,0,5335
216,13600,Bolívar,Río Viejo,8125,0,8125
217,13620,Bolívar,San Cristóbal,7454,0,7454
218,13647,Bolívar,San Estanislao,16518,0,16518
219,13650,Bolívar,San Fernando,9776,0,9776
220,13654,Bolívar,San Jacinto,23551,25,23576
221,13655,Bolívar,San Jacinto del Cauca,8079,0,8079
222,13657,Bolívar,San Juan Nepomuceno,35412,26,35438
223,13667,Bolívar,San Martín de Loba,14501,3,14504
224,13670,Bolívar,San Pablo,24520,149,24669
225,13673,Bolívar,Santa Catalina,14039,0,14039
226,13683,Bolívar,Santa Rosa,18375,0,18375
227,13688,Bolívar,Santa Rosa del Sur,27284,541,27825
228,13744,Bolívar,Simití,15264,89,15353
229,13760,Bolívar,Soplaviento,9187,0,9187
230,13780,Bolívar,Talaigua Nuevo,12845,0,12845
231,13810,Bolívar,Tiquisio,17918,21,17939
232,13836,Bolívar,Turbaco,98380,287,98667
233,13838,Bolívar,Turbaná,15544,6,15550
234,13873,Bolívar,Villanueva,21135,0,21135
235,13894,Bolívar,Zambrano,11367,0,11367
236,15001,Boyacá,Tunja,166850,1141,167991
237,15022,Boyacá,Almeida,1582,0,1582
238,15047,Boyacá,Aquitania,13860,0,13860
239,15051,Boyacá,Arcabuco,5447,18,5465
240,15087,Boyacá,Belén,7322,0,7322
241,15090,Boyacá,Berbeo,1442,11,1453
242,15092,Boyacá,Betéitiva,1895,0,1895
243,15097,Boyacá,Boavita,4932,92,5024
244,15104,Boyacá,Boyacá,4472,0,4472
245,15106,Boyacá,Briceño,2043,11,2054
246,15109,Boyacá,Buenavista,4240,0,4240
247,15114,Boyacá,Busbanzá,896,7,903
248,15131,Boyacá,Caldas,3085,1,3086
249,15135,Boyacá,Campohermoso,2705,0,2705
250,15162,Boyacá,Cerinza,3636,0,3636
251,15172,Boyacá,Chinavita,2822,20,2842
252,15176,Boyacá,Chiquinquirá,51414,907,52321
253,15180,Boyacá,Chiscas,3587,0,3587
254,15183,Boyacá,Chita,7735,43,7778
255,15185,Boyacá,Chitaraque,5013,0,5013
256,15187,Boyacá,Chivatá,2783,0,2783
257,15189,Boyacá,Ciénega,4492,0,4492
258,15204,Boyacá,Cómbita,9341,3295,12636
259,15212,Boyacá,Coper,3019,0,3019
260,15215,Boyacá,Corrales,2479,0,2479
261,15218,Boyacá,Covarachía,2594,34,2628
262,15223,Boyacá,Cubará,9942,222,10164
263,15224,Boyacá,Cucaita,3375,0,3375
264,15226,Boyacá,Cuítiva,1628,0,1628
265,15232,Boyacá,Chíquiza,4347,0,4347
266,15236,Boyacá,Chivor,1669,0,1669
267,15238,Boyacá,Duitama,116737,869,117606
268,15244,Boyacá,El Cocuy,3952,47,3999
269,15248,Boyacá,El Espino,2597,118,2715
270,15272,Boyacá,Firavitoba,6523,0,6523
271,15276,Boyacá,Floresta,3184,2,3186
272,15293,Boyacá,Gachantivá,2744,0,2744
273,15296,Boyacá,Gameza,4395,0,4395
274,15299,Boyacá,Garagoa,13977,168,14145
275,15317,Boyacá,Guacamayas,1764,26,1790
276,15322,Boyacá,Guateque,8025,98,8123
277,15325,Boyacá,Guayatá,3089,23,3112
278,15332,Boyacá,Güicán,3920,1,3921
279,15362,Boyacá,Iza,1944,0,1944
280,15367,Boyacá,Jenesano,6308,25,6333
281,15368,Boyacá,Jericó,3540,0,3540
282,15377,Boyacá,Labranzagrande,3075,0,3075
283,15380,Boyacá,La Capilla,2284,16,2300
284,15401,Boyacá,La Victoria,956,0,956
285,15403,Boyacá,La Uvita,2774,98,2872
286,15407,Boyacá,Villa de Leyva,14267,139,14406
287,15425,Boyacá,Macanal,3516,52,3568
288,15442,Boyacá,Maripí,5354,0,5354
289,15455,Boyacá,Miraflores,8199,75,8274
290,15464,Boyacá,Mongua,4300,0,4300
291,15466,Boyacá,Monguí,3895,0,3895
292,15469,Boyacá,Moniquirá,20667,181,20848
293,15476,Boyacá,Motavita,5226,27,5253
294,15480,Boyacá,Muzo,7961,362,8323
295,15491,Boyacá,Nobsa,14651,0,14651
296,15494,Boyacá,Nuevo Colón,5008,17,5025
297,15500,Boyacá,Oicatá,2797,0,2797
298,15507,Boyacá,Otanche,6989,8,6997
299,15511,Boyacá,Pachavita,2261,14,2275
300,15514,Boyacá,Páez,2925,5,2930
301,15516,Boyacá,Paipa,31097,44,31141
302,15518,Boyacá,Pajarito,1930,11,1941
303,15522,Boyacá,Panqueba,1619,25,1644
304,15531,Boyacá,Pauna,6355,0,6355
305,15533,Boyacá,Paya,2061,0,2061
306,15537,Boyacá,Paz de Río,4040,7,4047
307,15542,Boyacá,Pesca,6604,0,6604
308,15550,Boyacá,Pisba,1582,0,1582
309,15572,Boyacá,Puerto Boyacá,44076,708,44784
310,15580,Boyacá,Quípama,4194,0,4194
311,15599,Boyacá,Ramiriquí,8690,199,8889
312,15600,Boyacá,Ráquira,7302,10,7312
313,15621,Boyacá,Rondón,2212,18,2230
314,15632,Boyacá,Saboyá,11161,0,11161
315,15638,Boyacá,Sáchica,4823,0,4823
316,15646,Boyacá,Samacá,17485,57,17542
317,15660,Boyacá,San Eduardo,1558,14,1572
318,15664,Boyacá,San José de Pare,4658,0,4658
319,15667,Boyacá,San Luis de Gaceno,4534,17,4551
320,15673,Boyacá,San Mateo,3307,0,3307
321,15676,Boyacá,San Miguel de Sema,2901,0,2901
322,15681,Boyacá,San Pablo de Borbur,5827,12,5839
323,15686,Boyacá,Santana,6811,15,6826
324,15690,Boyacá,Santa María,3093,16,3109
325,15693,Boyacá,Santa Rosa de Viterbo,10849,480,11329
326,15696,Boyacá,Santa Sofía,2924,35,2959
327,15720,Boyacá,Sativanorte,1947,79,2026
328,15723,Boyacá,Sativasur,1044,4,1048
329,15740,Boyacá,Siachoque,6649,0,6649
330,15753,Boyacá,Soatá,8456,82,8538
331,15755,Boyacá,Socotá,7122,11,7133
332,15757,Boyacá,Socha,7497,12,7509
333,15759,Boyacá,Sogamoso,119503,959,120462
334,15761,Boyacá,Somondoco,2364,13,2377
335,15762,Boyacá,Sora,2586,0,2586
336,15763,Boyacá,Sotaquirá,7953,0,7953
337,15764,Boyacá,Soracá,5858,46,5904
338,15774,Boyacá,Susacón,2555,0,2555
339,15776,Boyacá,Sutamarchán,5755,0,5755
340,15778,Boyacá,Sutatenza,3481,20,3501
341,15790,Boyacá,Tasco,5140,10,5150
342,15798,Boyacá,Tenza,3426,35,3461
343,15804,Boyacá,Tibaná,7945,21,7966
344,15806,Boyacá,Tibasosa,11019,4,11023
345,15808,Boyacá,Tinjacá,2869,0,2869
346,15810,Boyacá,Tipacoque,3154,0,3154
347,15814,Boyacá,Toca,8707,0,8707
348,15816,Boyacá,Togüí,4224,0,4224
349,15820,Boyacá,Tópaga,3531,0,3531
350,15822,Boyacá,Tota,4530,0,4530
351,15832,Boyacá,Tununguá,1526,0,1526
352,15835,Boyacá,Turmequé,5835,21,5856
353,15837,Boyacá,Tuta,8143,11,8154
354,15839,Boyacá,Tutazá,1794,0,1794
355,15842,Boyacá,Umbita,6905,0,6905
356,15861,Boyacá,Ventaquemada,13974,10,13984
357,15879,Boyacá,Viracachá,2582,0,2582
358,15897,Boyacá,Zetaquira,4272,29,4301
359,17001,Caldas,Manizales,395818,4618,400436
360,17013,Caldas,Aguadas,20525,187,20712
361,17042,Caldas,Anserma,31438,373,31811
362,17050,Caldas,Aranzazu,9854,0,9854
363,17088,Caldas,Belalcázar,9661,29,9690
364,17174,Caldas,Chinchiná,48298,186,48484
365,17272,Caldas,Filadelfia,9613,17,9630
366,17380,Caldas,La Dorada,69086,1716,70802
367,17388,Caldas,La Merced,5324,1,5325
368,17433,Caldas,Manzanares,16502,30,16532
369,17442,Caldas,Marmato,8485,0,8485
370,17444,Caldas,Marquetalia,12079,67,12146
371,17446,Caldas,Marulanda,2081,0,2081
372,17486,Caldas,Neira,20355,140,20495
373,17495,Caldas,Norcasia,5946,3,5949
374,17513,Caldas,Pácora,13074,140,13214
375,17524,Caldas,Palestina,13490,70,13560
376,17541,Caldas,Pensilvania,17107,235,17342
377,17614,Caldas,Riosucio,48012,317,48329
378,17616,Caldas,Risaralda,9840,0,9840
379,17653,Caldas,Salamina,16441,318,16759
380,17662,Caldas,Samaná,17424,42,17466
381,17665,Caldas,San José,4516,8,4524
382,17777,Caldas,Supía,26571,0,26571
383,17867,Caldas,Victoria,8148,24,8172
384,17873,Caldas,Villamaría,62671,160,62831
385,17877,Caldas,Viterbo,12425,7,12432
386,18001,Caquetá,Florencia,152474,4315,156789
387,18029,Caquetá,Albania,4363,151,4514
388,18094,Caquetá,Belén de Los Andaquies,8729,346,9075
389,18150,Caquetá,Cartagena del Chairá,27267,672,27939
390,18205,Caquetá,Curillo,7379,139,7518
391,18247,Caquetá,El Doncello,17572,203,17775
392,18256,Caquetá,El Paujil,12822,192,13014
393,18410,Caquetá,La Montañita,11524,604,12128
394,18460,Caquetá,Milán,6980,527,7507
395,18479,Caquetá,Morelia,3350,0,3350
396,18592,Caquetá,Puerto Rico,23616,779,24395
397,18610,Caquetá,San José del Fragua,10965,399,11364
398,18753,Caquetá,San Vicente del Caguán,40794,1596,42390
399,18756,Caquetá,Solano,9587,744,10331
400,18785,Caquetá,Solita,5242,189,5431
401,18860,Caquetá,Valparaíso,5678,404,6082
402,19001,Cauca,Popayán,272901,4369,277270
403,19022,Cauca,Almaguer,16523,0,16523
404,19050,Cauca,Argelia,19925,211,20136
405,19075,Cauca,Balboa,18904,6,18910
406,19100,Cauca,Bolívar,35625,212,35837
407,19110,Cauca,Buenos Aires,25236,21,25257
408,19130,Cauca,Cajibío,32235,2,32237
409,19137,Cauca,Caldono,35886,253,36139
410,19142,Cauca,Caloto,25264,152,25416
411,19212,Cauca,Corinto,21633,342,21975
412,19256,Cauca,El Tambo,38509,179,38688
413,19290,Cauca,Florencia,5089,0,5089
414,19300,Cauca,Guachené,18513,0,18513
415,19318,Cauca,Guapi,23775,262,24037
416,19355,Cauca,Inzá,26490,81,26571
417,19364,Cauca,Jambaló,16353,0,16353
418,19392,Cauca,La Sierra,9935,0,9935
419,19397,Cauca,La Vega,19777,0,19777
420,19418,Cauca,López,15117,37,15154
421,19450,Cauca,Mercaderes,14806,18,14824
422,19455,Cauca,Miranda,28540,122,28662
423,19473,Cauca,Morales,29737,0,29737
424,19513,Cauca,Padilla,8763,0,8763
425,19517,Cauca,Paez,37599,67,37666
426,19532,Cauca,Patía,28361,225,28586
427,19533,Cauca,Piamonte,7124,1,7125
428,19548,Cauca,Piendamó,33346,85,33431
429,19573,Cauca,Puerto Tejada,40020,224,40244
430,19585,Cauca,Puracé,14925,27,14952
431,19622,Cauca,Rosas,9336,0,9336
432,19693,Cauca,San Sebastián,9769,37,9806
433,19698,Cauca,Santander de Quilichao,95348,684,96032
434,19701,Cauca,Santa Rosa,4975,70,5045
435,19743,Cauca,Silvia,33380,128,33508
436,19760,Cauca,Sotara,11921,37,11958
437,19780,Cauca,Suárez,19624,66,19690
438,19785,Cauca,Sucre,6201,0,6201
439,19807,Cauca,Timbío,32170,47,32217
440,19809,Cauca,Timbiquí,21614,4,21618
441,19821,Cauca,Toribio,30654,0,30654
442,19824,Cauca,Totoró,20870,0,20870
443,19845,Cauca,Villa Rica,18761,0,18761
444,20001,Cesar,Valledupar,455636,3713,459349
445,20011,Cesar,Aguachica,95548,330,95878
446,20013,Cesar,Agustín Codazzi,58475,146,58621
447,20032,Cesar,Astrea,18434,0,18434
448,20045,Cesar,Becerril,20474,3,20477
449,20060,Cesar,Bosconia,37499,32,37531
450,20175,Cesar,Chimichagua,30272,17,30289
451,20178,Cesar,Chiriguaná,26976,30,27006
452,20228,Cesar,Curumaní,34833,5,34838
453,20238,Cesar,El Copey,28550,0,28550
454,20250,Cesar,El Paso,34620,0,34620
455,20295,Cesar,Gamarra,12444,0,12444
456,20310,Cesar,González,4034,19,4053
457,20383,Cesar,La Gloria,14779,210,14989
458,20400,Cesar,La Jagua de Ibirico,37106,250,37356
459,20443,Cesar,Manaure,9302,11,9313
460,20517,Cesar,Pailitas,16800,0,16800
461,20550,Cesar,Pelaya,18487,10,18497
462,20570,Cesar,Pueblo Bello,22763,166,22929
463,20614,Cesar,Río de Oro,14408,0,14408
464,20621,Cesar,La Paz,26105,4,26109
465,20710,Cesar,San Alberto,22993,47,23040
466,20750,Cesar,San Diego,18530,1,18531
467,20770,Cesar,San Martín,20452,0,20452
468,20787,Cesar,Tamalameque,14063,0,14063
469,23001,Córdoba,Montería,431279,2444,433723
470,23068,Córdoba,Ayapel,38816,0,38816
471,23079,Córdoba,Buenavista,18344,0,18344
472,23090,Córdoba,Canalete,14831,0,14831
473,23162,Córdoba,Cereté,96165,87,96252
474,23168,Córdoba,Chimá,13492,0,13492
475,23182,Córdoba,Chinú,42676,4,42680
476,23189,Córdoba,Ciénaga de Oro,56278,0,56278
477,23300,Córdoba,Cotorra,16215,0,16215
478,23350,Córdoba,La Apartada,13733,9,13742
479,23417,Córdoba,Lorica,98436,55,98491
480,23419,Córdoba,Los Córdobas,15886,0,15886
481,23464,Córdoba,Momil,16264,0,16264
482,23466,Córdoba,Montelíbano,71772,52,71824
483,23500,Córdoba,Moñitos,25095,0,25095
484,23555,Córdoba,Planeta Rica,60245,14,60259
485,23570,Córdoba,Pueblo Nuevo,26968,0,26968
486,23574,Córdoba,Puerto Escondido,19474,0,19474
487,23580,Córdoba,Puerto Libertador,35303,59,35362
488,23586,Córdoba,Purísima,14702,3,14705
489,23660,Córdoba,Sahagún,94010,10,94020
490,23670,Córdoba,San Andrés Sotavento,42041,5,42046
491,23672,Córdoba,San Antero,29028,0,29028
492,23675,Córdoba,San Bernardo del Viento,29437,0,29437
493,23678,Córdoba,San Carlos,23532,0,23532
494,23682,Córdoba,San José de Uré(1),11059,0,11059
495,23686,Córdoba,San Pelayo,40614,3,40617
496,23807,Córdoba,Tierralta,85813,765,86578
497,23815,Córdoba,Tuchín,40033,0,40033
498,23855,Córdoba,Valencia,30532,13,30545
499,25001,Cundinamarca,Agua de Dios,10421,321,10742
500,25019,Cundinamarca,Albán,5920,216,6136
501,25035,Cundinamarca,Anapoima,12130,111,12241
502,25040,Cundinamarca,Anolaima,12120,84,12204
503,25053,Cundinamarca,Arbeláez,9613,392,10005
504,25086,Cundinamarca,Beltrán,1719,1,1720
505,25095,Cundinamarca,Bituima,2223,1,2224
506,25099,Cundinamarca,Bojacá,9653,21,9674
507,25120,Cundinamarca,Cabrera,4270,242,4512
508,25123,Cundinamarca,Cachipay,9267,7,9274
509,25126,Cundinamarca,Cajicá,80534,577,81111
510,25148,Cundinamarca,Caparrapí,10266,35,10301
511,25151,Cundinamarca,Caqueza,15435,159,15594
512,25154,Cundinamarca,Carmen de Carupa,7325,20,7345
513,25168,Cundinamarca,Chaguaní,3323,0,3323
514,25175,Cundinamarca,Chía,128753,860,129613
515,25178,Cundinamarca,Chipaque,8624,9,8633
516,25181,Cundinamarca,Choachí,10366,31,10397
517,25183,Cundinamarca,Chocontá,19611,214,19825
518,25200,Cundinamarca,Cogua,20801,301,21102
519,25214,Cundinamarca,Cota,31364,504,31868
520,25224,Cundinamarca,Cucunubá,7002,11,7013
521,25245,Cundinamarca,El Colegio,22529,246,22775
522,25258,Cundinamarca,El Peñón,3458,0,3458
523,25260,Cundinamarca,El Rosal,21873,14,21887
524,25269,Cundinamarca,Facatativá,134881,1160,136041
525,25279,Cundinamarca,Fomeque,10749,0,10749
526,25281,Cundinamarca,Fosca,5561,17,5578
527,25286,Cundinamarca,Funza,90670,184,90854
528,25288,Cundinamarca,Fúquene,4848,1,4849
529,25290,Cundinamarca,Fusagasugá,131661,2997,134658
530,25293,Cundinamarca,Gachala,4343,35,4378
531,25295,Cundinamarca,Gachancipá,16601,32,16633
532,25297,Cundinamarca,Gachetá,8065,138,8203
533,25299,Cundinamarca,Gama,3032,23,3055
534,25307,Cundinamarca,Girardot,91545,1358,92903
535,25312,Cundinamarca,Granada,6899,23,6922
536,25317,Cundinamarca,Guachetá,12403,2,12405
537,25320,Cundinamarca,Guaduas,24514,3057,27571
538,25322,Cundinamarca,Guasca,14954,38,14992
539,25324,Cundinamarca,Guataquí,1974,3,1977
540,25326,Cundinamarca,Guatavita,6145,3,6148
541,25328,Cundinamarca,Guayabal de Siquima,3604,0,3604
542,25335,Cundinamarca,Guayabetal,5809,0,5809
543,25339,Cundinamarca,Gutiérrez,3311,0,3311
544,25368,Cundinamarca,Jerusalén,2024,1,2025
545,25372,Cundinamarca,Junín,5197,37,5234
546,25377,Cundinamarca,La Calera,28405,96,28501
547,25386,Cundinamarca,La Mesa,28962,490,29452
548,25394,Cundinamarca,La Palma,7708,0,7708
549,25398,Cundinamarca,La Peña,5406,23,5429
550,25402,Cundinamarca,La Vega,13054,31,13085
551,25407,Cundinamarca,Lenguazaque,9414,11,9425
552,25426,Cundinamarca,Macheta,6022,35,6057
553,25430,Cundinamarca,Madrid,108885,811,109696
554,25436,Cundinamarca,Manta,3328,26,3354
555,25438,Cundinamarca,Medina,7269,12,7281
556,25473,Cundinamarca,Mosquera,128880,13,128893
557,25483,Cundinamarca,Nariño,2100,1,2101
558,25486,Cundinamarca,Nemocón,12198,0,12198
559,25488,Cundinamarca,Nilo,6960,3595,10555
